Phoenix Indoor range. 40 Rounds. TM22 Feather, Aguila Copper.
﻿#,Speed (FPS),Δ Avg (FPS),KE (FT-LBS),Power Factor (kgr⋅ft/s),Time,Clean Bore,Cold Bore,Shot Notes
1,1229.1,1.1,161.0,59.0,14:48:26,,,
2,1200.2,-27.8,153.5,57.6,14:48:40,,,
3,1223.8,-4.3,159.6,58.7,14:49:42,,,
4,1217.9,-10.1,158.1,58.5,14:50:22,,,
5,1248.8,20.8,166.2,59.9,14:50:33,,,
6,1188.7,-39.4,150.6,57.1,14:51:17,,,
7,1241.5,13.4,164.2,59.6,14:52:11,,,
8,1233.9,5.8,162.2,59.2,14:52:20,,,
9,1241.2,13.2,164.2,59.6,14:52:32,,,
10,1238.5,10.4,163.5,59.4,14:52:41,,,
11,1228.0,-0.1,160.7,58.9,14:56:22,,,
12,1239.2,11.1,163.6,59.5,14:56:30,,,
13,1249.8,21.8,166.5,60.0,15:00:15,,,
14,1235.3,7.3,162.6,59.3,15:00:23,,,
15,1238.4,10.4,163.4,59.4,15:01:50,,,
16,1227.7,-0.3,160.6,58.9,15:02:02,,,
17,1017.0,-211.0,110.2,48.8,15:03:04,,,
18,1274.3,46.2,173.0,61.2,15:03:17,,,
19,1206.4,-21.6,155.1,57.9,15:03:53,,,
20,1255.9,27.9,168.1,60.3,15:08:40,,,
21,1245.6,17.5,165.3,59.8,15:08:51,,,
22,1243.4,15.4,164.8,59.7,15:09:00,,,
23,1243.6,15.5,164.8,59.7,15:09:08,,,
24,1225.5,-2.5,160.1,58.8,15:09:16,,,
25,1231.6,3.6,161.6,59.1,15:09:24,,,
26,1241.7,13.6,164.3,59.6,15:10:06,,,
27,1237.5,9.5,163.2,59.4,15:10:16,,,
28,1232.9,4.9,162.0,59.2,15:10:28,,,
29,1234.8,6.8,162.5,59.3,15:10:36,,,
30,1239.5,11.4,163.7,59.5,15:10:51,,,
31,1257.4,29.3,168.5,60.4,15:11:00,,,
-,,,,,,
AVERAGE SPEED,1228.0,,,,,
AVERAGE POWER FACTOR,58.9,,,,,
STD DEV,41.8,,,,,
SPREAD,257.2,,,,,
Projectile Weight (GRAINS),48.0,,,,,
AVG KINETIC ENERGY,160.9,,,,,
Session Note,Zero'd the Falke HWS at 36m.,,,,,
-,,,,,,
Date,"MAY 05, 2026 15:15",,,,,
All shots included in the calculations,,,,,,
